,単語,ネガポジ値
640,ずんべらぼうの,-1
641,せこい,-1
642,せせこましい,-1
643,せっかちだ,-1
644,せっかちです,-1
645,せわしい,-1
646,せわしない,-1
647,そぐわない,-1
648,そそっかしい,-1
649,そっけない,-1
650,そらぞらしい,-1
651,ぞっと,-1
652,ぞんざいだ,-1
653,ぞんざいです,-1
654,たけだけしい,-1
655,たじたじ,-1
656,たどたどしい,-1
657,たよりない,-1
658,だらけるた,-1
659,だぶつく,-1
660,だらしがない,-1
661,だらしない,-1
662,だらし無い,-1
663,だるい,-1
664,ちぐはぐだ,-1
665,ちぐはぐです,-1
666,ちっぽけだ,-1
667,ちっぽけです,-1
668,ちびだ,-1
669,ちびです,-1
670,ちまちま,-1
671,ちゃちい,-1
672,ちゃちだ,-1
673,ちゃちです,-1
674,ちゃちと,-1
675,ちゃちの,-1
676,ちゃらっぽこだ,-1
677,ちゃらっぽこです,-1
678,ちゃらっぽこと,-1
679,ちゃらっぽこの,-1
680,ちんちくりんだ,-1
681,ちんちくりんです,-1
682,ちんちくりんと,-1
683,ちんちくりんの,-1
684,ちんまり,-1
685,つかむにくい,-1
686,つたない,-1
687,つぶれるやすい,-1
688,つまらない,-1
689,つまるぬ,-1
690,つれない,-1
691,つんつるてんだ,-1
692,つんつるてんです,-1
693,つんつるてんと,-1
694,つんつるてんの,-1
695,できる損なう,-1
696,でくの坊だ,-1
697,でくの坊です,-1
698,でくの坊と,-1
699,でくの坊の,-1
700,でしゃばる,-1
701,とげのある,-1
702,とげとげしい,-1
703,とっつくにくい,-1
704,とぼける,-1
705,とらえる所のない,-1
706,とりとめるがない,-1
707,とろい,-1
708,とんがる,-1
709,とんちんかんだ,-1
710,とんちんかんです,-1
711,とんちんかんと,-1
712,とんちんかんの,-1
713,とんでもない,-1
714,とんまだ,-1
715,とんまです,-1
716,とんまと,-1
717,とんまの,-1
718,どけちだ,-1
719,どけちです,-1
720,ど助平だ,-1
721,ど助平です,-1
722,ど助平と,-1
723,ど助平の,-1
724,どぎつい,-1
725,どけちと,-1
726,どけちの,-1
727,どじだ,-1
728,どじです,-1
729,どじと,-1
730,どじの,-1
731,どじをふむ,-1
732,どじを踏む,-1
733,どす黒い,-1
734,どっちつくぬ,-1
735,どっち付くぬ,-1
736,どんくさい,-1
737,なおざりだ,-1
738,なおざりです,-1
739,なごりおしい,-1
740,なじむない,-1
741,なじむにくい,-1
742,なまぬるい,-1
743,なよなよ,-1
744,なれなれしい,-1
745,にちゃにちゃ,-1
746,にぶい,-1
747,にべもない,-1
748,にべも無い,-1
749,ねたましい,-1
750,ねちねち,-1
751,のらりくらり,-1
752,のれんに腕押しだ,-1
753,のれんに腕押しです,-1
754,のれんに腕押しと,-1
755,のれんに腕押しの,-1
756,のろい,-1
757,のろくさい,-1
758,のろのろ,-1
759,のろまだ,-1
760,のろまです,-1
761,のろまと,-1
762,のろまの,-1
763,はかばかしい,-1
764,はしたない,-1
765,はずれだ,-1
766,はずれです,-1
767,はずれと,-1
768,はずれの,-1
769,はでだ,-1
770,はでです,-1
771,はで好みだ,-1
772,はで好みです,-1
773,はで好みと,-1
774,はで好みの,-1
775,ばか正直だ,-1
776,ばか正直です,-1
777,ばか丁寧だ,-1
778,ばか丁寧です,-1
779,ばかくさい,-1
780,ばっちい,-1
781,ばらつきがある,-1
782,ひやひや,-1
783,ひょろひょろ,-1
784,ひ弱い,-1
785,びしょびしょだ,-1
786,びしょびしょです,-1
787,ふがいない,-1
788,ふた目と見るられるない,-1
789,ふつつかだ,-1
790,ふつつかです,-1
791,ふてぶてしい,-1
792,ふにゃふにゃ,-1
793,ふにゃふにゃだ,-1
794,ふにゃふにゃです,-1
795,ふらふら,-1
796,ふんぞり返る,-1
797,ぶよぶよ,-1
798,へなちょこだ,-1
799,へなちょこです,-1
800,へなちょこと,-1
801,へなちょこの,-1
802,へいこら,-1
803,へそ曲がりだ,-1
804,へそ曲がりです,-1
805,へそ曲がりと,-1
806,へそ曲がりの,-1
807,へたくそだ,-1
808,へたくそです,-1
809,へとへとだ,-1
810,へとへとです,-1
811,へなへな,-1
812,べとつく,-1
813,べとべと,-1
814,ぺしゃんこだ,-1
815,ぺしゃんこです,-1
816,ぺしゃんこと,-1
817,ぺしゃんこの,-1
818,ぺてん師だ,-1
819,ぺてん師です,-1
820,ぺてん師と,-1
821,ぺてん師の,-1
822,ほど遠い,-1
823,ぼさっと,-1
824,ぼやける,-1
825,ぼやぼや,-1
826,ぼろい,-1
827,ぼろぼろだ,-1
828,ぼろぼろです,-1
829,ぼんくらだ,-1
830,ぼんくらです,-1
831,ぼんくらと,-1
832,ぼんくらの,-1
833,ぼんやり,-1
834,まがい物だ,-1
835,まがい物です,-1
836,まがい物と,-1
837,まがい物の,-1
838,まがい物的だ,-1
839,まがい物的です,-1
840,まがまがしい,-1
841,まごまご,-1
842,まだるっこい,-1
843,ままならない,-1
844,みそっかす,-1
845,みすぼらしい,-1
846,みっともない,-1
847,みにくい,-1
848,みみっちい,-1
849,むかむか,-1
850,むごい,-1
851,むごたらしい,-1
852,むさい,-1
853,むさくるしい,-1
854,むっと,-1
855,むなぐるしい,-1
856,むなしい,-1
857,めそめそ,-1
858,めちゃくちゃだ,-1
859,めちゃくちゃです,-1
860,めちゃめちゃだ,-1
861,めちゃめちゃです,-1
862,めんどう臭い,-1
863,めんどうくさい,-1
864,めんどくさい,-1
865,もう一つだ,-1
866,もたつきがある,-1
867,もっさり,-1
868,もったいない,-1
869,もってのほかだ,-1
870,もってのほかです,-1
871,もってのほかと,-1
872,もってのほかの,-1
873,もどかしい,-1
874,ものうい,-1
875,ものすさまじい,-1
876,ものたりない,-1
877,もの狂おしい,-1
878,もの凄まじい,-1
879,もの悲しい,-1
880,やかましい,-1
881,やきもき,-1
882,やっかいだ,-1
883,やっかいです,-1
884,やにっこい,-1
885,やばい,-1
886,やぶさかだ,-1
887,やぶさかです,-1
888,やぼだ,-1
889,やぼです,-1
890,やぼったい,-1
891,やましい,-1
892,ややこしい,-1
893,やりきれない,-1
894,やり切れない,-1
895,やるせない,-1
896,やわだ,-1
897,やわです,-1
898,やわい,-1
899,ゆゆしい,-1
900,ゆるい,-1
901,よけいだ,-1
902,よけいです,-1
903,よけいと,-1
904,よけいの,-1
905,よそよそしい,-1
906,よれよれだ,-1
907,よれよれです,-1
908,よれる,-1
909,よわい,-1
910,よんどころない,-1
911,らちもない,-1
912,ろくでなしだ,-1
913,ろくでなしです,-1
914,ろくでなしと,-1
915,ろくでなしの,-1
916,わいせつだ,-1
917,わいせつです,-1
918,わいせつと,-1
919,わいせつの,-1
920,わかるにくい,-1
921,わざとらしい,-1
922,わずらわしい,-1
923,わびしい,-1
924,わやだ,-1
925,わやです,-1
926,わやくだ,-1
927,わやくです,-1
928,アウトローだ,-1
929,アウトローです,-1
930,アウトローと,-1
931,アウトローの,-1
932,アホだ,-1
933,アホです,-1
934,アホと,-1
935,アホの,-1
936,アンナチュラルだ,-1
937,アンナチュラルです,-1
938,アンナチュラルと,-1
939,アンナチュラルの,-1
940,イカレる,-1
941,イマイチだ,-1
942,イマイチです,-1
943,イマイチと,-1
944,イマイチの,-1
945,イレギュラ,-1
946,イレギュラー,-1
947,インチキだ,-1
948,インチキです,-1
949,インチキと,-1
950,インチキの,-1
951,インパクトがない,-1
952,ウドの大木だ,-1
953,ウドの大木です,-1
954,ウドの大木と,-1
955,ウドの大木の,-1
956,エキセントリックだ,-1
957,エキセントリックです,-1
958,エゴイストだ,-1
959,エゴイストです,-1
960,エゴイストと,-1
961,エゴイストの,-1
962,エッチだ,-1
963,オーソドックスすぎる,-1
964,オマケ程度,-1
965,オモチャっぽい,-1
966,オヤジ臭い,-1
967,オリジナリティがない,-1
968,カッコ悪い,-1
969,ガキっぽい,-1
970,ガタ落ち,-1
971,ガチガチだ,-1
972,ガチガチです,-1
